Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,21840,725.3135,287,125370,3.04
l7E73GUI0wE,Better Dev Club #11 - Drama w Tailwindzie i upadek Stack Overflow,"Jan 15, 2026",1207,1606,147.8489,59,44026,2.14
q4-GS8cfLiE,#ai #hype vs rzeczywistość - co stoi za ruchami #block #betterdevclub #podcast #shorts #podcast,"Mar 8, 2026",47,1406,3.1366,0,221,4.98
DvhdhMxf6TU,Bomba news w tym tygodniu #claude #anthropic #openai #trump #polityka  #betterdevclub #podcast,"Mar 3, 2026",40,1269,3.2803,1,269,11.52
dEXZ2F9Rqpw,Zaproszenie na pierwszy odcinek z gościem #betterdevclub #podcast #agenticai #developer #shorts,"Feb 24, 2026",45,1203,3.4025,3,332,6.02
Lp6Z1hvf9og,Celebryci wspierają #AI Katy Perry z subskrypcją #claude #anthropic #betterdevclub #podcast #shorts,"Mar 6, 2026",56,1118,2.8332,1,553,1.08
WWK82ip5TxY,Rozczarowania w IT #agile #scrum #craftsmanship #betterdevclub #podcast #shorts,"Mar 3, 2026",69,1110,4.3049,3,245,4.49
wlkVnriPGYA,Better Dev Club #16 - Projekty AI za kokosy $$$. Claude vs Cursor = epic fail,"Feb 19, 2026",1406,1060,112.4927,21,14850,4.44
iqZY8yioC4g,3 miliony za projekt stworzony przez AI i klapa #betterdevclub #claude #cursor #podcast  #anthropic,"Feb 20, 2026",46,1039,4.8489,1,636,4.72
VAdpaFI-1-8,Koszty projektu przeglądarki #anthropic #claude #cursor #betterdevclub #podcast #shorts,"Feb 22, 2026",73,1022,4.9349,2,252,1.59
HvHeA8ftWE0,Agile i jego degradacja #betterdevclub #agile #developer #agenticai #shorts,"Mar 2, 2026",62,977,0.8085,1,199,4.02
TKm6u_Occ7I,Zespół programistów AI #cursor #cursorai #anthropic #betterdevclub #shorts #agenticai #podcast,"Feb 23, 2026",61,965,4.645,6,330,5.45
_2DSTxULT8w,"#anthropic  oznaczony jako ""supply chain risk"" #claude #betterdevclub #podcast #shorts","Mar 7, 2026",52,934,0.7787,1,193,5.7
tdKjaMtOWAk,Dlaczego skille nie działają #agenticai #skills #vercel #anthropic #shorts,"Feb 13, 2026",79,907,2.5451,1,176,5.11
l0zfYCgCe4c,Dlaczego skille nie działają #skills #anthropic #agenticai #betterdevclub #podcast #shorts,"Feb 17, 2026",79,906,3.6873,1,203,3.94
CGdgkvY-Tdc,Vibe Coding stworzy nową armię systemów zombie? 🫠#vibecoding #it #legacy #programowanie #chatgpt,"Feb 28, 2026",97,808,3.3687,3,453,5.96
8JkEJemGT0M,Better Dev Club #10 - AI Przewidywania na 2026,"Jan 8, 2026",1460,696,70.8173,24,13711,2.88
R1NXqeqDr3E,Zalety #custominstructions w #github #copilot #betterdevclub #agents #agenticai #shorts,"Feb 15, 2026",100,536,0.6451,1,233,2.58
lynrN0dMOLY,Better Dev Club #15 - Skills.md w AI: Hype czy Game Changer?,"Feb 12, 2026",1212,439,35.8887,12,7766,3.19
1js6_X-3JGs,Problemy z #mcp i #skills  #agenticai #agents #anthropic #betterdevclub #shorts,"Feb 16, 2026",61,429,1.5711,0,203,3.94
1awvN_ePgmE,Sceptycyzm wobec #ai w #codereview #anthropic #claude #claudecode #betterdevclub #podcast #shorts,"Mar 13, 2026",30,414,0.3106,,11,0
giOy7r93pCk,Better Dev Club #13 - Piekło zamarzło. Linus Torvalds i DHH o Vibe Coding,"Jan 29, 2026",1344,375,33.1032,4,5689,4.04
tuFBcbrBFCU,"Better Dev Club #17 - Droga Tomasza Ducina: teatr, kodzik i AI","Feb 26, 2026",3372,336,73.2678,11,2336,5.99
Wt1LuB56tx0,"Better Dev Club #19 - Amazon płonie przez AI, Spotify koduje ze Slacka, a Claude robi PR za 25$/szt","Mar 12, 2026",1579,256,38.5079,2,2297,7.27
9BmowwsNbz0,Better Dev Club Weekly #6 - .NET 10,"Dec 11, 2025",1658,247,31.0966,9,4300,3
XI4UuV0q9a0,MCP i jego rola w standardyzacji #agenticai #mcp #anthropic #vercel #betterdevclub #shorts,"Feb 14, 2026",57,245,0.5832,0,163,3.07
yJEpy2gM4AM,Better Dev Club Weekly #1,"Nov 6, 2025",902,195,14.106,7,1713,3.79
1gDzn-SHxSw,Better Dev Club #14 - Clawdbot - Moltbot - OpenClaw?,"Feb 5, 2026",1367,190,23.6146,3,3264,2.48
FnW4W_WPjmc,BDC #18 - Trump banuje Claude? Akcje IBM spadają. Czy geopolityka zabierze nam narzędzia?,"Mar 5, 2026",1098,156,18.7866,2,1406,5.76
xsHb468qQFk,Better Dev Club Weekly #5 - Ekosystem Google,"Dec 4, 2025",1354,145,15.3236,3,2502,3
4rimdlDQjas,"Better Dev Club #9 - Benchmarki AI, czyli wydajność vs. cena","Jan 1, 2026",1223,134,10.6279,2,3407,1.61
81L3RqlUxxk,Better Dev Club Weekly #4 - Narzędzia CLI,"Nov 27, 2025",1207,133,9.2836,2,2770,2.89
onfZ5Bh8z3A,Better Dev Club Weekly #8 - Co nas urzekło,"Dec 25, 2025",1203,128,9.3972,1,3147,2.03
wYlmBeSEgJc,Better Dev Club Weekly #2,"Nov 13, 2025",924,119,7.0502,2,2399,2.75
30Hp9Mzhyl0,Better Dev Club #12 - Czy AI może analizować sen?,"Jan 22, 2026",1074,111,10.2785,2,1996,2
G9ic7gK3nnU,Better Dev Club Weekly #3 - Cloudflare,"Nov 20, 2025",900,69,5.7269,4,823,3.4
kGtAdYbV5KI,Better Dev Club Weekly #7 - Agentic AI Foundation,"Dec 18, 2025",1531,59,5.7444,1,1702,1.59
Upx7VcqXH-M,[DDDDays] KAMIL DZIENISZEWSKI Release na proda z punktu widzenia frontend,"Oct 22, 2024",2431,25,0.4079,0,114,4.39
Y_8CD8UfMd4,[DDDDays] JAROSŁAW PAŁKA Testy wydajnościowe i inne kłamstwa,"Oct 25, 2024",3170,22,1.705,0,127,3.94
SJaFy6_29JE,"[DDDDays] OSKAR DUDYCZ Emmett, czyli EventSourcing w TypeScript nie taki straszny","Oct 23, 2024",3900,21,2.1259,1,154,2.6
jApq7akWzBs,[DDDDays] ŁUKASZ KAŁUŻNY Boring Architecture 101,"Oct 24, 2024",1894,14,1.1529,0,162,3.7
Wb6mRmLWceY,"[DDDDays] MACIEJ JEDRZEJEWSKI Oops, i deployed it again: a survivor’s guide to continuous deployment","Oct 21, 2024",4397,7,1.2712,1,36,8.33
