Date,Content,Video title,Video publish time,Duration,Views
2026-03-14,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-03-15,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-03-16,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-03-17,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,234
2026-03-18,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,659
2026-03-19,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,3
2026-03-20,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,2
2026-03-21,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,1
2026-03-22,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,2
2026-03-23,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,1
2026-03-24,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-03-25,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-03-26,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-03-27,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-03-28,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-03-29,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-03-30,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-03-31,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,2
2026-04-01,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-04-02,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-04-03,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-04-04,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-04-05,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-04-06,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-04-07,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-04-08,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-04-09,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-04-10,4UKUIE29Tj0,#amazon vs #spotify #10xdev #ai #betterdevclub #betterdevclub #podcast #shorts,"Mar 17, 2026",40,0
2026-03-14,5KHqEgcgI20,"Co się dzieje w Redmond, zostaje w Redmond... na razie #betterdevclub #podcast #agenticai #shorts","Mar 27, 2026",26,0
2026-03-15,5KHqEgcgI20,"Co się dzieje w Redmond, zostaje w Redmond... na razie #betterdevclub #podcast #agenticai #shorts","Mar 27, 2026",26,0
2026-03-16,5KHqEgcgI20,"Co się dzieje w Redmond, zostaje w Redmond... na razie #betterdevclub #podcast #agenticai #shorts","Mar 27, 2026",26,0
2026-03-17,5KHqEgcgI20,"Co się dzieje w Redmond, zostaje w Redmond... na razie #betterdevclub #podcast #agenticai #shorts","Mar 27, 2026",26,0
2026-03-18,5KHqEgcgI20,"Co się dzieje w Redmond, zostaje w Redmond... na razie #betterdevclub #podcast #agenticai #shorts","Mar 27, 2026",26,0
