id,title,publishedAt,viewCount,likeCount,commentCount,description,tags
l7E73GUI0wE,Better Dev Club #11 - Drama w Tailwindzie i upadek Stack Overflow,2026-01-15T08:00:57Z,1630,45,13,"🔗 do odcinka znajdziesz na: https://betterdevclub.pl/episodes/episode-11  Zapisz się na newsletter żeby zawsze być na bieżąco z nowościami: https://betterdevclub.pl/newsletter  Agenda: 00:00 - Wstep 00:30 - Tailwind zwalnia 75% zespolu przez AI 02:00 - Jak Tailwind zarabial i co sie zmienilo 05:30 - Nowa strona Better Dev Club 07:00 - Sponsorzy ratuja Tailwinda 09:00 - AI zmienia nasza prace 10:00 - Stack Overflow traci ruch i pytania 12:00 - Stack Overflow sprzedal dane OpenAI i Google 14:00 - Wplyw AI na biznesy internetowe 16:30 - Skad modele AI wezma dane za 5 lat 18:00 - Adaptacja do nowych realii w IT 19:30 - Podsumowanie i zakonczenie   Dwóch MS MVP: Piotr Stapp i Kajetan Duszyński zajmują się przeglądem nowości z zakresu szeroko pojętego AI, nowoczesnych narzędzi.","podcast IT, Tailwind CSS, Stack Overflow, AI programowanie, sztuczna inteligencja, Better Dev Club, zwolnienia w IT, AI zabiera prace, open source finansowanie, modele jezykowe, LLM, frontend development, przyszlosc programowania, biznes internetowy, OpenAI"
wlkVnriPGYA,Better Dev Club #16 - Projekty AI za kokosy $$$. Claude vs Cursor = epic fail,2026-02-19T08:01:10Z,1071,28,23,"Czy AI faktycznie potrafi zbudować kompilator języka C albo przeglądarkę internetową od zera? Wszystkie 🔗: 👉 https://betterdevclub.pl/episodes/episode-16 Analizujemy głośne eksperymenty Anthropica i Cursora. Rozmawiamy o tym, dlaczego 3 miliony dolarów wydane na kodowanie przeglądarki to przepis na katastrofę, dlaczego agenci AI unikają trudnych zadań i czy subskrypcja za 500 dolarów miesięcznie to nowa norma w IT. „Agenta kodowania nie zostawisz samego”  Agenda: 00:00 - Wstep 00:30 - Projekty AI: kompilator C i przegladarka 02:30 - GCC vs kompilator napisany przez AI 05:00 - Ocena jakosci kodu generowanego przez AI 06:30 - Eksperyment Cursora z agentami 10:30 - Koszty projektu: 3 miliony dolarow 14:30 - Dlaczego agentow AI nie zostawisz samych 17:30 - Ceny subskrypcji AI a wartosc dla biznesu 19:00 - Mierzenie produktywnosci developerow z AI 22:00 - Podsumowanie i zaproszenie na meetup  *O nas:* Piotr Stapp i Kajetan Duszyński. Jesteśmy Microsoft MVP i w tym podcaście gadamy o tym, jak AI i nowe narzędzia wpływają na naszą codzienną robotę w IT.  #ai, #cursor, #claude, #anthropic, #coding, #betterdevclub","Claude Code, Cursor, AI programowanie, kompilator C, przegladarka AI, agenty AI, vibe coding, Anthropic, koszty AI, produktywnosc programistow, podcast IT, Better Dev Club, sztuczna inteligencja, Rust, automatyzacja kodowania"
8JkEJemGT0M,Better Dev Club #10 - AI Przewidywania na 2026,2026-01-08T08:00:12Z,703,28,12,"Zapisz się na newsletter żeby zawsze być na bieżąco z nowościami: https://betterdevclub.pl/newsletter  🔗 do 10 odcinka Better Dev Club Weekly:  https://www.youtube.com/watch?v=0hpn9mn9vSs   Agenda: 00:00 - Wstep 01:00 - Prognozy na 2026 rok 03:00 - Koniec ery vibe-codingu 06:00 - AI jako prawdziwy copilot programisty 09:00 - Jezyk angielski jako jezyk programowania 10:00 - Dominacja monorepo w erze AI 14:00 - Multi-repo i agenci AI 15:30 - Modele lokalne i dedykowane 18:00 - Migracja systemow legacy 22:00 - Modernizacja vs migracja jeden do jednego 24:30 - Podsumowanie i zakonczenie   Dwóch MS MVP:  Piotr Stapp  Kajetan Duszyński  zajmują się przeglądem nowości z zakresu szeroko pojętego AI, nowoczesnych narzędzi.","podcast IT, AI programowanie, prognozy 2026, vibe coding, gen-coding, copilot programisty, monorepo, modele lokalne, migracja legacy, modernizacja systemow, sztuczna inteligencja, przyszlosc programowania, Better Dev Club, narzedzia AI, CI CD"
snn78zeyqns,"Better Dev Club #20 - Nasz stack AI, czyli jak kodują staff engineers",2026-03-19T08:01:03Z,617,20,10,"Z jednej strony słyszymy, że AI zastąpi juniorów, a z drugiej ankiety krzyczą: to inżynierowie na poziomie Staff i Principal wyciskają z AI najwięcej! Wszystkie 🔗: 👉 https://betterdevclub.pl/episodes/episode-20 W tym odcinku wracamy na ziemię i zdradzamy nasz aktualny roboczy stack - to z czego korzystamy na co dzień. Tłumaczymy, dlaczego pomimo jesiennych zachwytów porzuciliśmy Gemini CLI i co sprawiło, że GitHub Copilot CLI wrócił do łask w świecie enterprise. Rozmawiamy o nowościach pokroju Copilot Cowork, mieszaniu modeli przez OpenCode (w tym najnowszego prosto z pieca Gemini 3.1 Pro) i zastanawiamy się jak ułożyć architekturę i zapanować nad stadem subagentów budując dobrą bazę wiedzy. Wjeżdżamy!  _Agenda_ 00:00 - Kto najbardziej korzysta z AI? Spoiler: Nie juniorzy 02:21 - Od czego zaczynamy dzień? Kajetan o Copilot CLI 03:50 - Piotrek i OpenCode (oraz ""wyzwania"" trybu Enterprise) 09:48 - Ewolucja Copilota i dlaczego hejt się skończył 12:26 - Copilot Cowork, subagenci i uruchamianie modeli w tle 14:20 - Team Google? Dlaczego Piotrek wybiera Gemini 3.1 Pro i 3.0 Flash 16:05 - Co daje ""Presentation mode"" 21:29 - Jak organizujemy pracę z zespołem ludzi i agentów 26:23 - Czy Claude Code się kończy? 27:43 - Koniec! Check-up i pytania do Was  _O nas:_ Piotr Stapp i Kajetan Duszyński. Jesteśmy Microsoft MVP i w tym podcaście gadamy o tym, jak AI i nowe narzędzia wpływają na naszą codzienną robotę w IT.  #ai, #githubcopilot, #copilot, #github, #claude, #claudecode, #google, #microsoft, #openai, #gemini, #opencode, #staffengineer #betterdevclub, #programowanie","ai, claude, claudecode, google, microsoft, openai, gemini, opencode, staffengineer, betterdevclub, programowanie, github, copilot, githubcopilot"
Wt1LuB56tx0,"Better Dev Club #19 - Amazon płonie przez AI, Spotify koduje ze Slacka, a Claude robi PR za 25$/szt",2026-03-12T08:00:37Z,562,19,4,"Z jednej strony pożar na produkcji i całkowity ban na AI w Amazonie, a z drugiej... pełen luz, wolność dla deweloperów i deployowanie kodu prosto ze Slacka w Spotify. Wszystkie 🔗: 👉 https://betterdevclub.pl/episodes/episode-19 Bierzemy na tapet to, jak skrajnie różnie giganci technologiczni podchodzą dzisiaj do inżynierii. Na deser odpalamy nowego agenta Claude Code. Czy AI, które w pełni autonomicznie puszcza Pull Requesty za (póki co) 15-25 dolarów od sztuki naprawi nam dowiezie nam system za ułamek ceny, czy to tylko kolejna zabawka, która wywróci nam CI/CD do góry nogami? Zobaczymy kto tak naprawdę płaci za ten hype. Wjeżdżamy!  *Agenda* 00:00 - Wstęp 00:17 - Kiedy AI wywala Ci produkcję: 13-godzinny pożar w Amazonie 01:18 - Dwie skrajności: Spotify koduje ze Slacka, w Amazonie lecą bany na AI 03:21 - Testowanie na produkcji (i luźne heheszki z mBanku) 04:40 - Jak (i po co) piszemy własnego agenta do Code Review 08:10 - Czy my w ogóle powinnismy jeszcze robić Pull Requesty? 11:24 - Claude Code wjeżdża z PR-ami za 25 baksów. Hit czy kolejny abonament? 16:47 - ""Chciałbym po prostu kliknąć Review"" – ile kosztuje tuning AI? 19:56 - Tony przepalanych tokenów a nadzieja w małych modelach lokalnych 22:02 - Kodowy slop: czy Senior teraz będzie tylko od czytania wygenerowanego kodu? 26:01 - Kto tu ma rację? Robimy zakład i kończymy  *O nas:* Piotr Stapp i Kajetan Duszyński. Jesteśmy Microsoft MVP i w tym podcaście gadamy o tym, jak AI i nowe narzędzia wpływają na naszą codzienną robotę w IT.  #amazon, #aws, #spotify, #claude, #claudecode #ai, #anthropic, #coding, #betterdevclub","amazon, aws, spotify, claude, claudecode, ai, anthropic, coding, betterdevclub, podcast"
lynrN0dMOLY,Better Dev Club #15 - Skills.md w AI: Hype czy Game Changer?,2026-02-12T08:00:56Z,451,19,3,"Rozmawiamy o Skillach, Agents.md i standardach w świecie agentic AI. Czy Vercel i Anthropic stworzyli coś, co faktycznie działa, czy może zwykły plik tekstowy z instrukcjami wciąż wygrywa? Sprawdzamy sukcesy i porażki nowej fali standardów dla agentów. _Wszystkie 🔗:_ 👉  https://betterdevclub.pl/episodes/episode-15  Zapisz się na newsletter, żeby być na bieżąco: 👉 https://betterdevclub.pl/newsletter  Agenda: 00:00 - Wstep 01:00 - Czym jest MCP i jego ograniczenia 03:00 - Skills.md jako rozwiazanie problemow MCP 06:00 - Testy Vercela i problemy ze skillami 08:30 - Agents.md vs Skills.md - kluczowe roznice 13:00 - Custom Instructions w GitHub Copilot 15:30 - Problem okna kontekstowego i tokenow 17:00 - Czy AI to wieczny student? 18:30 - Brak standaryzacji kodowania z AI 19:30 - Podsumowanie i zakonczenie  *O nas:* Piotr Stapp i Kajetan Duszyński. Jesteśmy Microsoft MVP i w tym podcaście gadamy o tym, jak AI i nowe narzędzia wpływają na naszą codzienną robotę w IT.   #skills #agents #vercel #agenticAI #standaryzacja #betterdevclub","skills.md, agents.md, MCP, AI programowanie, podcast IT, Vercel, Anthropic, GitHub Copilot, context window, custom instructions, standaryzacja AI, agenci AI, Better Dev Club, kodowanie z AI, Next.js"
tuFBcbrBFCU,"Better Dev Club #17 - Droga Tomasza Ducina: teatr, kodzik i AI",2026-02-26T08:00:57Z,398,25,22,"Dziś gość: Tomasz Ducin. Znany architekt, prelegent i „deweloper jutra”. Dzieli się swoją historią: od teatralnych desek Gardzienic po stabilność w świecie IT. 🔗: https://betterdevclub.pl/episodes/episode-17 Rozmawiamy o tym, dlaczego „vibe coding” (lub Agentic Coding) to nieuchronna przyszłość, jak uniknąć systemów zombie i czy seniorzy, którzy unikają AI, mają jeszcze miejsce na rynku w 2026 roku. Czy AI zastąpi architektów, czy może tylko ich usprawni? Oraz czy ""Vibe-owanie aplikacji"" podczas maratonu to już poziom TikToka?  Agenda: 00:00 - Wstep 01:00 - Tomek Ducin o karierze aktorskiej 03:30 - Droga do rozpoznawalnosci w IT 06:30 - Dlaczego konferencje i wystąpienia publiczne 10:30 - Co rozczarowuje w branzy IT 16:00 - Kodowanie z AI vs vibe coding 22:00 - Maintenance systemow z vibe codingu 27:00 - Czego AI nie zastapi w IT 33:00 - Czy seniorzy moga ignorowac AI 38:30 - Marka osobista i rozpoznawalnosc programisty 51:30 - W co warto inwestowac czas 53:00 - Nawyk ktory zmienil kariere Ducina 54:00 - Podsumowanie i polecajki  *O nas:* Piotr Stapp i Kajetan Duszyński. Jesteśmy Microsoft MVP i w tym podcaście gadamy o tym, jak AI i nowe narzędzia wpływają na naszą codzienną robotę w IT.","Tomek Ducin, podcast IT, Better Dev Club, sztuczna inteligencja programowanie, vibe coding, agentic coding, LLM w programowaniu, architektura oprogramowania, przyszlosc IT, kariera programisty, marka osobista IT, Developer Jutra, Agile Scrum krytyka, kodowanie z AI, Warsaw Software Architecture Group"
giOy7r93pCk,Better Dev Club #13 - Piekło zamarzło. Linus Torvalds i DHH o Vibe Coding,2026-01-29T08:00:54Z,381,12,4,"❄️ Piekło (znowu) zamarzło w IT ❄️ Linus Torvalds i DHH, którzy kojarzą się z najbardziej tradycyjnym podejściem do kodu, zaczęli mówić o Vibe Coding. W tym odcinku sprawdzamy, czy to rewolucja czy ewolucja w branży IT. *Wszystkie 🔗:* 👉 https://betterdevclub.pl/episodes/episode-13  Zapisz się na newsletter, żeby być na bieżąco: 👉 https://betterdevclub.pl/newsletter  Agenda: 00:00 - Wstep 00:30 - Linus Torvalds uzywa AI do kodowania 01:30 - DHH tez zmienia zdanie o AI 03:00 - Workflow z AI: prompt czy dokumentacja? 05:00 - Strona podcastu i side projekty 07:00 - Gen-coding i przygotowanie specyfikacji 09:30 - Budowanie narzedzi z pomoca AI 11:00 - Customowe prompty i instrukcje w Copilot 13:30 - Stack Overflow Survey o AI w programowaniu 16:00 - Koniec sporow o architekture kodu 18:30 - Dobre praktyki korzystania z narzedzi AI 21:00 - Pytanie do sluchaczy i zakonczenie  *O nas:* Piotr Stapp i Kajetan Duszyński. Jesteśmy Microsoft MVP i w tym podcaście gadamy o tym, jak AI i nowe narzędzia wpływają na naszą codzienną robotę w IT.   #linustorvalds #dhh #vibecoding #programowanie #betterdevclub","Linus Torvalds, DHH, Ruby on Rails, GitHub Copilot, gen-coding, vibe coding, AI w programowaniu, podcast IT, narzedzia AI, Stack Overflow Developer Survey, sztuczna inteligencja, programowanie z AI, agenci AI, Claude, Better Dev Club"
oao-m6mjL0I,Better Dev Club #22 - Genialny easter egg czy wpadka DevOpsa? Kto stoi za wyciekiem Claude Code?,2026-04-02T07:00:37Z,345,18,2,"Czy wyciek kodu Claude Code (Anthropic) to rewolucja w świecie AI, genialny easter egg czy po prostu wpadka DevOpsa?  Wszystkie 🔗: 👉 https://betterdevclub.pl/episodes/episode-22  W tym odcinku huczymy o głośnym wycieku kodu narzędzia Claude Code. Dyskutujemy o tym jak wyciek przez source mapy na NPM wpłynie na całą branżę AI.  Co mówią nam zaszyte informacje o nadchodzących modelach typu Opus 4.7, Sonnet 4.8 i Capybara? Zastanawiamy się czy ten wyciek to katastrofa, czy może misternie zaplanowany, pierwszokwietniowy żart w postaci tamagotchi w terminalu.  Zobacz co na ten temat uważamy my – i co może oznaczać to dla OpenCode, Copilota czy Gemini. Wjeżdżamy!  _Agenda_  00:00 - Wyciek kodu Claude Code - internet huczy 01:25 - Jak doszło do wycieku przez source mapy na NPM 03:41 - Co wiemy z kodu? Nowe modele Claude: Opus 4.7, Sonnet 4.8 i Capybara 05:52 - Model rozliczeniowy za tokeny, a powstawanie portów (np. Rust, Python) 07:06 - Tamagotchi w terminalu 08:38 - System prompty czy zaawansowana inżynieria LLM? 11:47 - Czego dowiaduje się konkurencja i czy giganci rynkowi i tak ze sobą nie rozmawiają? 15:08 - A może to easter egg na Prima Aprilis? 16:20 - Zakończenie odcinka  _O nas:_  Piotr Stapp i Kajetan Duszyński. Jesteśmy Microsoft MVP i w tym podcaście gadamy o tym, jak AI i nowe narzędzia wpływają na naszą codzienną robotę w IT.  #ai, #claudecode, #claude, #anthropic, #githubcopilot, #copilot, #gemini, #microsoft, #google, #openai, #betterdevclub, #programowanie, #devops, #security","ai, claudecode, claude, anthropic, githubcopilot, copilot, gemini, microsoft, google, openai, betterdevclub, programowanie, devops, security"
JEtqTZ9QsEo,Better Dev Club #21 - Cyberbezpieczeństwo w czasach AI z Wojciechem Lesickim,2026-03-26T08:00:15Z,300,12,6,"Dlaczego instalowanie agentów AI i narzędzi typu OpenClaw w firmie ""na YOLO"" to proszenie się o katastrofę? Wychodzimy poza bańkę programistów i bierzemy sztuczną inteligencję pod lupę z perspektywy Security! Wszystkie 🔗: 👉 https://betterdevclub.pl/episodes/episode-21  W 21. odcinku naszym gościem jest Wojciech Lesicki – doświadczony specjalista od cyberbezpieczeństwa. Rozmawiamy o tym, jak cyberprzestępcy (ang. threat actors) automatyzują ataki przy użyciu LLM-ów, jak specjaliści cyber-sec odpowiadają tym samym i jak mądrze zarządzać ryzykiem w dobie ""agentic AI"". Omawiamy też odwagę do testowania nowinek, projekt Shield (Tomas Roccia) oraz to, o czym obecnie muszą pamiętać juniorzy i seniorzy. Zapraszamy do posłuchania!   *Agenda* 00:00 - Po drugiej stronie barykady: Kim jest Wojciech Lesicki? 04:29 - Bezpiecznicy vs Deweloperzy – dlaczego nie wolno ściągać pierwszych z brzegu paczek z NPM 07:26 - Ścieżka menedżerska vs pozycja techniczna – dlaczego Wojtek (i Piotrek) zdecydowali się wrócić „do technologii” 13:22 - Adminowe fakapy, czyli jak odciąć się od RDP-a na serwerze 15:19 - Jak bezpiecznicy patrzą na szał wokół AI i na instalowanie OpenClawa „na YOLO” 22:28 - Jak z AI korzystają przestępcy (threat actorzy) i do czego wykorzystają LLM-y? 26:04 - Czym są „malicious skills” i jak się przed tym bronić (projekt Shield autorstwa Tomasa Rocji) 35:40 - Jak nadążyć za wdrożeniami AI w firmach, gdy po kilku dniach wszystko się zmienia? 38:15 - Jakich skilli uczyć się obecnie i gdzie szukać wiedzy (raporty cyber-sec oraz… umiejętności miękkie) 44:28 - Czy AI zabierze pracę juniorom w obszarze bezpieczeństwa (np. na pierwszej linii SOC)? 48:07 - Zmiany w rekrutacji i adaptacja młodych deweloperów do nowych narzędzi 54:15 - Nawyk, który odmienił karierę Wojtka 56:47 - Gdzie śledzić aktywność Wojtka   *O nas:* Piotr Stapp i Kajetan Duszyński. Jesteśmy Microsoft MVP i w tym podcaście gadamy o tym, jak AI i nowe narzędzia wpływają na naszą codzienną robotę w IT.  #betterdevclub #cyberbezpieczeństwo #ai #cybersecurity #openclaw #agenticai #llmsecurity  #sztucznainteligencja #infosec #programowanie #development #devsecops #devops #it","betterdevclub, cyberbezpieczeństwo, ai, cybersecurity, openclaw, agenticai, llmsecurity, sztucznainteligencja, infosec, programowanie, development, devsecops, devops, it"
