id,title,publishedAt,viewCount,likeCount,commentCount,description,tags
l7E73GUI0wE,Better Dev Club #11 - Drama w Tailwindzie i upadek Stack Overflow,2026-01-15T08:00:57Z,1609,45,13,"🔗 do odcinka znajdziesz na: https://betterdevclub.pl/episodes/episode-11  Zapisz się na newsletter żeby zawsze być na bieżąco z nowościami: https://betterdevclub.pl/newsletter  Dwóch MS MVP: Piotr Stapp i Kajetan Duszyński zajmują się przeglądem nowości z zakresu szeroko pojętego AI, nowoczesnych narzędzi.",
wlkVnriPGYA,Better Dev Club #16 - Projekty AI za kokosy $$$. Claude vs Cursor = epic fail,2026-02-19T08:01:10Z,1065,28,23,"Czy AI faktycznie potrafi zbudować kompilator języka C albo przeglądarkę internetową od zera? Wszystkie 🔗: 👉 https://betterdevclub.pl/episodes/episode-16 Analizujemy głośne eksperymenty Anthropica i Cursora. Rozmawiamy o tym, dlaczego 3 miliony dolarów wydane na kodowanie przeglądarki to przepis na katastrofę, dlaczego agenci AI unikają trudnych zadań i czy subskrypcja za 500 dolarów miesięcznie to nowa norma w IT. „Agenta kodowania nie zostawisz samego”  *O nas:* Piotr Stapp i Kajetan Duszyński. Jesteśmy Microsoft MVP i w tym podcaście gadamy o tym, jak AI i nowe narzędzia wpływają na naszą codzienną robotę w IT.  #ai, #cursor, #claude, #anthropic, #coding, #betterdevclub",
8JkEJemGT0M,Better Dev Club #10 - AI Przewidywania na 2026,2026-01-08T08:00:12Z,697,28,12,"Zapisz się na newsletter żeby zawsze być na bieżąco z nowościami: https://betterdevclub.pl/newsletter  🔗 do 10 odcinka Better Dev Club Weekly:  https://www.youtube.com/watch?v=0hpn9mn9vSs  Dwóch MS MVP:  Piotr Stapp  Kajetan Duszyński  zajmują się przeglądem nowości z zakresu szeroko pojętego AI, nowoczesnych narzędzi.",
lynrN0dMOLY,Better Dev Club #15 - Skills.md w AI: Hype czy Game Changer?,2026-02-12T08:00:56Z,441,19,3,"Rozmawiamy o Skillach, Agents.md i standardach w świecie agentic AI. Czy Vercel i Anthropic stworzyli coś, co faktycznie działa, czy może zwykły plik tekstowy z instrukcjami wciąż wygrywa? Sprawdzamy sukcesy i porażki nowej fali standardów dla agentów. _Wszystkie 🔗:_ 👉  https://betterdevclub.pl/episodes/episode-15  Zapisz się na newsletter, żeby być na bieżąco: 👉 https://betterdevclub.pl/newsletter   *O nas:* Piotr Stapp i Kajetan Duszyński. Jesteśmy Microsoft MVP i w tym podcaście gadamy o tym, jak AI i nowe narzędzia wpływają na naszą codzienną robotę w IT.   #skills #agents #vercel #agenticAI #standaryzacja #betterdevclub",
giOy7r93pCk,Better Dev Club #13 - Piekło zamarzło. Linus Torvalds i DHH o Vibe Coding,2026-01-29T08:00:54Z,375,12,4,"❄️ Piekło (znowu) zamarzło w IT ❄️ Linus Torvalds i DHH, którzy kojarzą się z najbardziej tradycyjnym podejściem do kodu, zaczęli mówić o Vibe Coding. W tym odcinku sprawdzamy, czy to rewolucja czy ewolucja w branży IT. *Wszystkie 🔗:* 👉 https://betterdevclub.pl/episodes/episode-13  Zapisz się na newsletter, żeby być na bieżąco: 👉 https://betterdevclub.pl/newsletter   *O nas:* Piotr Stapp i Kajetan Duszyński. Jesteśmy Microsoft MVP i w tym podcaście gadamy o tym, jak AI i nowe narzędzia wpływają na naszą codzienną robotę w IT.   #linustorvalds #dhh #vibecoding #programowanie #betterdevclub",
tuFBcbrBFCU,"Better Dev Club #17 - Droga Tomasza Ducina: teatr, kodzik i AI",2026-02-26T08:00:57Z,339,22,22,"Dziś gość: Tomasz Ducin. Znany architekt, prelegent i „deweloper jutra”. Dzieli się swoją historią: od teatralnych desek Gardzienic po stabilność w świecie IT. 🔗: https://betterdevclub.pl/episodes/episode-17 Rozmawiamy o tym, dlaczego „vibe coding” (lub Agentic Coding) to nieuchronna przyszłość, jak uniknąć systemów zombie i czy seniorzy, którzy unikają AI, mają jeszcze miejsce na rynku w 2026 roku. Czy AI zastąpi architektów, czy może tylko ich usprawni? Oraz czy ""Vibe-owanie aplikacji"" podczas maratonu to już poziom TikToka?  *O nas:* Piotr Stapp i Kajetan Duszyński. Jesteśmy Microsoft MVP i w tym podcaście gadamy o tym, jak AI i nowe narzędzia wpływają na naszą codzienną robotę w IT.",
Wt1LuB56tx0,"Better Dev Club #19 - Amazon płonie przez AI, Spotify koduje ze Slacka, a Claude robi PR za 25$/szt",2026-03-12T08:00:37Z,291,11,4,"Z jednej strony pożar na produkcji i całkowity ban na AI w Amazonie, a z drugiej... pełen luz, wolność dla deweloperów i deployowanie kodu prosto ze Slacka w Spotify. Wszystkie 🔗: 👉 https://betterdevclub.pl/episodes/episode-19 Bierzemy na tapet to, jak skrajnie różnie giganci technologiczni podchodzą dzisiaj do inżynierii. Na deser odpalamy nowego agenta Claude Code. Czy AI, które w pełni autonomicznie puszcza Pull Requesty za (póki co) 15-25 dolarów od sztuki naprawi nam dowiezie nam system za ułamek ceny, czy to tylko kolejna zabawka, która wywróci nam CI/CD do góry nogami? Zobaczymy kto tak naprawdę płaci za ten hype. Wjeżdżamy!  *O nas:* Piotr Stapp i Kajetan Duszyński. Jesteśmy Microsoft MVP i w tym podcaście gadamy o tym, jak AI i nowe narzędzia wpływają na naszą codzienną robotę w IT.  #amazon, #aws, #spotify, #claude, #claudecode #ai, #anthropic, #coding, #betterdevclub","amazon, aws, spotify, claude, claudecode, ai, anthropic, coding, betterdevclub, podcast"
9BmowwsNbz0,Better Dev Club Weekly #6 - .NET 10,2025-12-11T08:00:14Z,247,17,9,"Zapisz się na newsletter żeby zawsze być na bieżąco z nowościami:  https://betterdevclub.pl/newsletter  Szósty odcinek formatu Better Dev Club Weekly.  Dwóch MS MVP:  Piotr Stapp  Kajetan Duszyński  zajmują się przeglądem nowości z zakresu szeroko pojętego AI, nowoczesnych narzędzi.    W szóstym odcinku omawiamy nowości w .NET 10    Wszystkie nowości: https://learn.microsoft.com/en-us/dotnet/core/whats-new/dotnet-10/overview",
yJEpy2gM4AM,Better Dev Club Weekly #1,2025-11-06T08:57:30Z,193,10,2,"Zapisz się na newsletter żeby zawsze być na bieżąco z nowościami:  https://betterdevclub.pl/newsletter  Pierwszy odcinek nowego formatu Better Dev Club Weekly.  Dwóch MS MVP:  Piotr Stapp  Kajetan Duszyński  zajmują się przeglądem nowości z zakresu szeroko pojętego AI, nowoczesnych narzędzi.    W pierwszym odcinku omawiamy Microsoft Copilot App Builder. Nowość od MS, która ma pozwolić na budowanie aplikacji i automatyzowanie flow pracy w organizacjach za pomocą prostego prompta.    Więcej o App builderze znajdziesz tutaj:  https://www.microsoft.com/en-us/microsoft-365/blog/2025/10/28/microsoft-365-copilot-now-enables-you-to-build-apps-and-workflows/",
1gDzn-SHxSw,Better Dev Club #14 - Clawdbot - Moltbot - OpenClaw?,2026-02-05T08:00:04Z,190,14,2,"Clawdbot? Moltbot? Czy OpenClaw? Bez względu na nazwę jest to jeden z najbardziej gorących tematów ostatnich dni. W tym odcinku sprawdzamy, czy to narzędzie, które święty graal agentic AI, czy może tylko niebezpieczna zabawka w rękach nieodpowiedzialnych ludzi. _Wszystkie 🔗:_ 👉  https://betterdevclub.pl/episodes/episode-14  Zapisz się na newsletter, żeby być na bieżąco: 👉 https://betterdevclub.pl/newsletter   *O nas:* Piotr Stapp i Kajetan Duszyński. Jesteśmy Microsoft MVP i w tym podcaście gadamy o tym, jak AI i nowe narzędzia wpływają na naszą codzienną robotę w IT.   #clawdbot #moltbot #openclaw #agenticAI #security #betterdevclub",
